imdbId,title,genre,score,viewers
tt0353351,Dhund: The Fog(2003),Adventure | Thriller,2.9,338
tt0354538,Ek Aur Ek Gyarah: By Hook or by Crook(2003),Action | Comedy | Musical,5.3,2.2K
tt0354786,Oops!(2003),Drama,3.7,106
tt0356982,Paanch(2003),Crime | Thriller,7.6,2.4K
tt0357208,Stumped(2003),Comedy | Drama,2.6,141
tt0358613,Om(2003),Action | Romance,4.4,45
tt0362204,Supari(2003),Crime | Drama,4.3,161
tt0362696,Haasil(2003),Crime | Drama | Romance,7.6,3K
tt0362771,Ishq Vishk(2003),Comedy | Romance,6.1,4.4K
tt0362902,Nayee Padosan(2003),Comedy,5.5,426
tt0363409,Aan: Men at Work(2004),Drama | Action,5.7,3.2K
tt0363472,Bewafaa(2005),Drama,4.1,2.6K
tt0363721,Joggers' Park(2003),Comedy | Romance,6.2,387
tt0363833,Mumbai Se Aaya Mera Dost(2003),Romance | Action | Adventure,3.3,598
tt0364303,Dev(2004),Drama,6.7,1.5K
tt0364604,Plan(2004),Action | Thriller,4.4,940
tt0364621,Qayamat: City Under Threat(2003),Action | Romance | Thriller,4.7,2.5K
tt0366276,Calcutta Mail(2003),Thriller,5.7,517
tt0366630,Janasheen(2003),Musical | Action | Drama,3.1,409
tt0366658,Kaise Kahoon Ke... Pyaar Hai(2003),Crime | Romance,3.9,43
tt0366761,Meenaxi: Tale of 3 Cities(2004),Romance |Drama,6.2,329
tt0366880,Parwana(2003),Romance |Drama,2.6,322
tt0366985,Rudraksh(2004),Fantasy | Sci-Fi,2.7,1.3K
tt0367110,Swades(2004),Drama,8.2,94K
tt0368580,Asambhav(2004),Action | Adventure | Drama,3.7,640
tt0368683,Desh(2002),Drama,5.2,59
tt0368811,Jajantaram Mamantaram(2003),Fantasy | Family,5.9,1.4K
tt0369516,Hawa(2003),Horror | Thriller,3.3,351
tt0369637,Kuch Naa Kaho(2003),Drama | Romance,5.4,2.4K
tt0371735,Hungama(2003),Comedy | Drama | Romance,7.6,16K
tt0371775,Khel(2003),Action | Thriller,4.1,526
tt0371922,Saaya(2003),Action | Drama | Horror,5.7,1K
tt0373856,Gangaajal(2003),Crime | Drama,7.8,18K
tt0373970,Khanjar(2003),Action,3.2,76
tt0373972,Khullam Khulla Pyaar Karen(2005),Comedy,4.1,352
tt0374271,Tere Naam(2003),Romance,7.2,20K
tt0374660,Footpath(2003),Action | Crime | Drama,5.4,954
tt0374848,Main Madhuri Dixit Banna Chahti Hoon!(2003),Drama | Comedy,6.3,539
tt0374887,Munnabhai M.B.B.S.(2003),Comedy | Crime,8.1,85K
tt0375611,Black(2005),Drama,8.1,36K
tt0375733,Encounter: The Killing(2002),Crime | Drama,6.2,178
tt0377126,Basti(2003),Action | Crime,7.5,34
tt0377131,Raghu Romeo(2003),Comedy,6.9,698
tt0377340,Aetbaar(2004),Drama | Musical | Romance,4.6,1.1K
tt0378025,Hawayein(2003),Drama | Romance,7.2,231
tt0378072,Hum Tum(2004),Drama | Romance | Comedy,7.0,15K
tt0378157,Kagaar: Life on the Edge(2003),Crime | Drama,5.7,61
tt0379818,I Proud to Be an Indian(2004),Action,6.1,588
tt0380337,Ek Din 24 Ghante(2003),Thriller,4.0,87
tt0381090,Chupke Se(2003),Comedy | Musical | Romance,5.5,126
tt0381408,Market(2003),Drama | Musical,4.1,155
tt0382176,Master(2001),Action,5.0,27
tt0382188,Mumbai Matinee(2003),Romance | Comedy,5.1,295
tt0382383,Yuva(2004),Action | Adventure | Crime,7.3,9.2K
tt0382385,Zameen(2003),Action,5.4,1.7K
tt0383719,Xcuse Me(2003),Comedy,5.7,935
tt0384491,Samay: When Time Strikes(2003),Thriller,7.0,2K
tt0385351,Yeh Lamhe Judaai Ke(2004),Drama,3.1,1.8K
tt0385564,Border Hindustan Ka(2003),Action | Romance,5.2,96
tt0385782,Inteha(2003),Romance |Musical |Drama,5.3,181
tt0385982,Raja Bhaiya(2003),Comedy | Drama,3.8,240
tt0386121,Woh Tera Naam Tha(2004),Romance,6.8,38
tt0387164,Dhoop(2003),Drama,7.4,273
tt0387325,Jodi Kya Banayi Wah Wah Ramji(2003),Comedy,4.0,58
tt0387486,Patth(2003),Drama,5.2,38
tt0387678,Waisa Bhi Hota Hai Part II(2003),Comedy | Action | Crime,7.4,785
tt0387989,Deewaar: Let's Bring Our Heroes Home(2004),War | Action | Drama,6.0,1.6K
tt0388315,Out of Control(2003),Comedy | Drama | Romance,3.3,272
tt0389726,Aanch(2003),Drama,5.5,122
tt0390532,Taj Mahal: A Monument of Love(2003),Drama | History | Romance,6.9,56
tt0390614,Waqt: The Race Against Time(2005),Comedy | Drama | Musical,6.7,10K
tt0391079,Dil Pardesi Ho Gayaa(2003),Romance | Drama,4.9,106
tt0391099,Duplicate Sholay(2002),Comedy,7.1,71
tt0391165,Fun2shh... Dudes in the 10th Century(2003),Comedy,4.6,983
tt0391187,Ghaav: The Wound(2002),Action | Crime | Drama,6.1,21
tt0391274,Kismat(2004),Action | Drama,4.1,524
tt0392625,Pratha(2002),Action | Drama | Thriller,6.5,51
tt0392950,Ishq Hai Tumse(2004),Romance,3.4,171
tt0392951,Mudda: The Issue(2003),Drama,4.2,35
tt0396044,Hadh: Life on the Edge of Death(2001),Action | Crime | Drama,4.2,20
